state,year,tempf,tempc
Alabama,1895,61.6417,16.4676
Alabama,1896,64.2667,17.9259
Alabama,1897,64.1917,17.8843
Alabama,1898,62.9833,17.2130
Alabama,1899,63.1000,17.2778
Alabama,1900,63.4083,17.4491
Alabama,1901,61.3917,16.3287
Alabama,1902,63.5833,17.5463
Alabama,1903,61.9750,16.6528
Alabama,1904,62.7667,17.0926
Alabama,1905,62.6333,17.0185
Alabama,1906,63.2750,17.3750
Alabama,1907,63.7250,17.6250
Alabama,1908,64.0417,17.8009
Alabama,1909,63.8500,17.6944
Alabama,1910,62.6667,17.0370
Alabama,1911,65.3250,18.5139
Alabama,1912,62.1167,16.7315
Alabama,1913,63.6083,17.5602
Alabama,1914,62.8333,17.1296
Alabama,1915,63.2000,17.3333
Alabama,1916,63.4417,17.4676
Alabama,1917,61.8500,16.5833
Alabama,1918,63.7833,17.6574
Alabama,1919,64.0917,17.8287
Alabama,1920,62.3000,16.8333
Alabama,1921,65.7083,18.7269
Alabama,1922,65.1667,18.4259
Alabama,1923,63.4167,17.4537
Alabama,1924,62.2500,16.8056
Alabama,1925,64.9583,18.3102
Alabama,1926,62.9000,17.1667
Alabama,1927,65.5833,18.6574
Alabama,1928,62.4833,16.9352
Alabama,1929,63.4333,17.4630
Alabama,1930,63.2667,17.3704
Alabama,1931,64.0500,17.8056
Alabama,1932,64.0167,17.7870
Alabama,1933,65.1000,18.3889
Alabama,1934,63.4000,17.4444
Alabama,1935,63.5750,17.5417
Alabama,1936,63.8083,17.6713
Alabama,1937,63.3917,17.4398
Alabama,1938,64.5417,18.0787
Alabama,1939,63.8750,17.7083
Alabama,1940,61.1750,16.2083
Alabama,1941,63.6000,17.5556
Alabama,1942,62.5000,16.9444
Alabama,1943,63.2417,17.3565
Alabama,1944,63.6083,17.5602
Alabama,1945,63.8500,17.6944
Alabama,1946,64.1083,17.8380
Alabama,1947,62.6500,17.0278
Alabama,1948,63.4000,17.4444
Alabama,1949,64.2250,17.9028
Alabama,1950,63.1167,17.2870
Alabama,1951,63.7667,17.6481
Alabama,1952,63.3500,17.4167
Alabama,1953,63.7583,17.6435
Alabama,1954,64.1750,17.8750
Alabama,1955,63.4333,17.4630
Alabama,1956,63.5833,17.5463
Alabama,1957,63.9500,17.7500
Alabama,1958,61.2167,16.2315
Alabama,1959,62.9500,17.1944
Alabama,1960,61.5417,16.4120
Alabama,1961,61.9333,16.6296
Alabama,1962,63.0500,17.2500
Alabama,1963,61.7250,16.5139
Alabama,1964,62.3917,16.8843
Alabama,1965,63.0083,17.2269
Alabama,1966,61.6417,16.4676
Alabama,1967,61.9167,16.6204
Alabama,1968,61.0000,16.1111
Alabama,1969,61.3667,16.3148
Alabama,1970,62.1167,16.7315
Alabama,1971,62.6833,17.0463
